title,artist,artist_url,album,album_url,timestamp
Slaughterhouse,Chat Pile,https://chatpile.bandcamp.com/,God's Country,https://chatpile.bandcamp.com/album/gods-country,Fri Aug  5 18:43:22 2022
Boo,"25,000 Kittens",https://25000kittens.bandcamp.com/,"25,000 Kittens",https://25000kittens.bandcamp.com/album/25000-kittens,Fri Aug  5 18:43:36 2022
